index,data
0,6867
1,6860
2,6883
3,6874
4,6874
5,6876
6,6860
7,6840
8,6881
9,6867
10,6883
11,6874
12,6883
13,6863
14,6876
15,6883
16,6894
17,6876
18,6883
19,6860
20,6874
21,6887
22,6881
23,6883
24,6890
25,6869
26,6881
27,6887
28,6867
29,6883
30,6894
31,6876
32,6903
33,6874
34,6883
35,6867
36,6887
37,6890
38,6867
39,6901
40,6860
41,6867
42,6867
43,6894
44,6890
45,6860
46,6894
47,6876
48,6874
49,6883
50,6883
51,6876
52,6883
53,6881
54,6874
55,6894
56,6883
57,6894
58,6887
59,6860
60,6890
61,6854
62,6890
63,6883
64,6890
65,6860
66,6883
67,6883
68,6869
69,6876
70,6894
71,6887
72,6887
73,6883
74,6867
75,6903
76,6890
77,6887
78,6883
79,6890
80,6890
81,6894
82,6894
83,6874
84,6881
85,6876
86,6887
87,6890
88,6867
89,6890
90,6907
91,6894
92,6883
93,6840
94,6874
95,6854
96,6883
97,6863
98,6883
99,6874
100,6881
101,6883
102,6867
103,6874
104,6849
105,6867
106,6903
107,6894
108,6883
109,6840
110,6883
111,6887
112,6869
113,6903
114,6867
115,6907
116,6876
117,6854
118,6894
119,6874
120,6890
121,6887
122,6881
123,6881
124,6876
125,6854
126,6894
127,6883
128,6869
129,6883
130,6867
131,6894
132,6890
133,6883
134,6876
135,6890
136,6869
137,6854
138,6890
139,6874
140,6874
141,6876
142,6883
143,6840
144,6867
145,6874
146,6863
147,6847
148,6867
149,6887
150,6867
151,6847
152,6863
153,6854
154,6867
155,6867
156,6840
157,6876
158,6867
159,6860
160,6876
161,6881
162,6867
163,6860
164,6881
165,6890
166,6863
167,6910
168,6883
169,6887
170,6881
171,6867
172,6876
173,6890
174,6869
175,6890
176,6881
177,6876
178,6881
179,6876
180,6869
181,6876
182,6869
183,6887
184,6867
185,6876
186,6867
187,6876
188,6869
189,6860
190,6890
191,6887
192,6901
193,6883
194,6863
195,6869
196,6890
197,6840
198,6876
199,6854
200,6883
201,6869
202,6860
203,6883
204,6890
205,6894
206,6883
207,6867
208,6890
209,6876
210,6867
211,6887
212,6867
213,6883
214,6849
215,6874
216,6860
217,6894
218,6874
219,6881
220,6860
221,6890
222,6883
223,6863
224,6883
225,6854
226,6876
227,6894
228,6881
229,6883
230,6876
231,6890
232,6867
233,6887
234,6881
235,6860
236,6883
237,6869
238,6867
239,6894
240,6890
241,6874
242,6867
243,6869
244,6890
245,6869
246,6854
247,6860
248,6903
249,6881
250,6863
251,6881
252,6883
253,6894
254,6883
255,6883
256,6890
257,6869
258,6883
259,6867
260,6860
261,6887
262,6874
263,6883
264,6860
265,6876
266,6887
267,6890
268,6881
269,6876
270,6876
271,6890
272,6876
273,6860
274,6876
275,6883
276,6890
277,6867
278,6867
279,6883
280,6876
281,6894
282,6876
283,6874
284,6881
285,6894
286,6881
287,6881
288,6894
289,6869
290,6867
291,6896
292,6860
293,6860
294,6843
295,6890
296,6901
297,6881
298,6876
299,6887
300,6860
301,6887
302,6867
303,6883
304,6874
305,6869
306,6890
307,6894
308,6860
309,6827
310,6874
311,6854
312,6874
313,6874
314,6867
315,6860
316,6874
317,6874
318,6847
319,6874
320,6876
321,6860
322,6847
323,6867
324,6883
325,6894
326,6854
327,6874
328,6887
329,6876
330,6867
331,6881
332,6876
333,6867
334,6860
335,6925
336,6860
337,6869
338,6860
339,6876
340,6883
341,6840
342,6894
343,6881
344,6876
345,6894
346,6874
347,6874
348,6894
349,6881
350,6843
351,6894
352,6894
353,6860
354,6876
355,6876
356,6860
357,6894
358,6883
359,6883
360,6881
361,6881
362,6890
363,6860
364,6894
365,6887
366,6883
367,6854
368,6847
369,6901
370,6894
371,6887
372,6883
373,6887
374,6881
375,6890
376,6847
377,6847
378,6901
379,6894
380,6890
381,6856
382,6890
383,6874
384,6881
385,6881
386,6874
387,6874
388,6869
389,6867
390,6843
391,6876
392,6863
393,6894
394,6869
395,6874
396,6881
397,6881
398,6876
399,6890
400,6890
401,6867
402,6874
403,6883
404,6867
405,6883
406,6876
407,6894
408,6883
409,6874
410,6856
411,6890
412,6890
413,6894
414,6874
415,6867
416,6883
417,6894
418,6881
419,6867
420,6894
421,6854
422,6883
423,6887
424,6881
425,6867
426,6854
427,6883
428,6867
429,6890
430,6856
431,6847
432,6869
433,6854
434,6883
435,6874
436,6874
437,6883
438,6867
439,6876
440,6883
441,6876
442,6854
443,6876
444,6890
445,6874
446,6874
447,6874
448,6881
449,6860
450,6881
451,6863
452,6890
453,6869
454,6867
455,6876
456,6867
457,6860
458,6854
459,6894
460,6894
461,6887
462,6876
463,6874
464,6883
465,6881
466,6869
467,6867
468,6890
469,6874
470,6876
471,6874
472,6887
473,6874
474,6834
475,6881
476,6883
477,6876
478,6883
479,6834
480,6890
481,6883
482,6867
483,6874
484,6883
485,6854
486,6876
487,6894
488,6867
489,6874
490,6869
491,6887
492,6860
493,6887
494,6874
495,6863
496,6901
497,6883
498,6874
499,6860
500,6854
501,6860
502,6874
503,6887
504,6901
505,6867
506,6847
507,6860
508,6874
509,6876
510,6874
511,6863
512,6894
513,6876
514,6854
515,6890
516,6883
517,6867
518,6894
519,6890
520,6874
521,6883
522,6903
523,6890
524,6854
525,6887
526,6869
527,6887
528,6881
529,6883
530,6854
531,6876
532,6854
533,6876
534,6876
535,6854
536,6887
537,6890
538,6867
539,6847
540,6894
541,6867
542,6869
543,6869
544,6867
545,6876
546,6883
547,6854
548,6901
549,6867
550,6860
551,6876
552,6883
553,6890
554,6860
555,6847
556,6860
557,6876
558,6860
559,6901
560,6874
561,6883
562,6883
563,6901
564,6869
565,6867
566,6869
567,6883
568,6881
569,6860
570,6854
571,6869
572,6883
573,6876
574,6894
575,6860
576,6901
577,6876
578,6883
579,6881
580,6863
581,6869
582,6874
583,6890
584,6901
585,6887
586,6867
587,6876
588,6881
589,6874
590,6860
591,6874
592,6874
593,6894
594,6890
595,6876
596,6881
597,6854
598,6890
599,6876
600,6881
601,6881
602,6903
603,6883
604,6867
605,6869
606,6890
607,6890
608,6874
609,6874
610,6869
611,6901
612,6869
613,6887
614,6874
615,6867
616,6890
617,6883
618,6901
619,6876
620,6860
621,6887
622,6854
623,6894
624,6876
625,6901
626,6876
627,6874
628,6890
629,6918
630,6894
631,6874
632,6860
633,6876
634,6867
635,6874
636,6894
637,6867
638,6881
639,6887
640,6894
641,6903
642,6874
643,6847
644,6883
645,6876
646,6854
647,6894
648,6876
649,6887
650,6847
651,6869
652,6874
653,6876
654,6867
655,6901
656,6860
657,6881
658,6847
659,6876
660,6869
661,6890
662,6869
663,6890
664,6890
665,6876
666,6876
667,6867
668,6890
669,6876
670,6883
671,6829
672,6856
673,6874
674,6903
675,6883
676,6876
677,6887
678,6876
679,6869
680,6874
681,6890
682,6867
683,6869
684,6887
685,6867
686,6876
687,6869
688,6867
689,6903
690,6874
691,6854
692,6860
693,6854
694,6883
695,6854
696,6860
697,6890
698,6876
699,6869
700,6883
701,6876
702,6894
703,6876
704,6881
705,6876
706,6876
707,6874
708,6883
709,6854
710,6883
711,6876
712,6894
713,6883
714,6854
715,6860
716,6876
717,6867
718,6883
719,6867
720,6847
721,6890
722,6863
723,6887
724,6847
725,6881
726,6890
727,6883
728,6840
729,6869
730,6883
731,6890
732,6869
733,6901
734,6883
735,6876
736,6876
737,6860
738,6847
739,6881
740,6890
741,6883
742,6854
743,6876
744,6876
745,6867
746,6883
747,6883
748,6881
749,6890
750,6894
751,6894
752,6876
753,6894
754,6883
755,6883
756,6876
757,6896
758,6847
759,6860
760,6881
761,6876
762,6901
763,6910
764,6903
765,6883
766,6874
767,6856
768,6883
769,6883
770,6867
771,6876
772,6914
773,6887
774,6883
775,6863
776,6883
777,6869
778,6881
779,6883
780,6883
781,6883
782,6869
783,6860
784,6860
785,6876
786,6874
787,6874
788,6869
789,6883
790,6883
791,6856
792,6863
793,6869
794,6854
795,6894
796,6887
797,6881
798,6883
799,6876
800,6887
801,6894
802,6867
803,6860
804,6887
805,6867
806,6856
807,6860
808,6883
809,6876
810,6890
811,6883
812,6876
813,6883
814,6854
815,6840
816,6874
817,6883
818,6876
819,6869
820,6883
821,6883
822,6883
823,6876
824,6876
825,6890
826,6890
827,6883
828,6881
829,6860
830,6876
831,6847
832,6860
833,6894
834,6874
835,6867
836,6876
837,6869
838,6883
839,6874
840,6867
841,6869
842,6894
843,6881
844,6883
845,6876
846,6887
847,6869
848,6890
849,6876
850,6867
851,6856
852,6890
853,6854
854,6894
855,6869
856,6867
857,6883
858,6867
859,6881
860,6876
861,6887
862,6874
863,6874
864,6881
865,6890
866,6867
867,6881
868,6874
869,6869
870,6876
871,6883
872,6887
873,6867
874,6881
875,6883
876,6874
877,6876
878,6890
879,6874
880,6869
881,6883
882,6874
883,6876
884,6894
885,6840
886,6869
887,6876
888,6874
889,6869
890,6869
891,6876
892,6874
893,6867
894,6874
895,6863
896,6874
897,6874
